date,year,measure,actual,prediction,lower,upper,is_forecast,data_type,measure_label
1990-01-01,1990,deaths_direct_alcohol,116507.0,,,,False,Actual,Direct: Alcohol
1991-01-01,1991,deaths_direct_alcohol,122601.0,,,,False,Actual,Direct: Alcohol
1992-01-01,1992,deaths_direct_alcohol,131791.0,,,,False,Actual,Direct: Alcohol
1993-01-01,1993,deaths_direct_alcohol,144036.0,,,,False,Actual,Direct: Alcohol
1994-01-01,1994,deaths_direct_alcohol,154010.0,,,,False,Actual,Direct: Alcohol
1995-01-01,1995,deaths_direct_alcohol,156877.0,,,,False,Actual,Direct: Alcohol
1996-01-01,1996,deaths_direct_alcohol,156537.0,,,,False,Actual,Direct: Alcohol
1997-01-01,1997,deaths_direct_alcohol,155636.0,,,,False,Actual,Direct: Alcohol
1998-01-01,1998,deaths_direct_alcohol,156518.0,,,,False,Actual,Direct: Alcohol
1999-01-01,1999,deaths_direct_alcohol,160872.0,,,,False,Actual,Direct: Alcohol
2000-01-01,2000,deaths_direct_alcohol,166398.0,,,,False,Actual,Direct: Alcohol
2001-01-01,2001,deaths_direct_alcohol,171139.0,,,,False,Actual,Direct: Alcohol
2002-01-01,2002,deaths_direct_alcohol,175701.0,,,,False,Actual,Direct: Alcohol
2003-01-01,2003,deaths_direct_alcohol,179300.0,,,,False,Actual,Direct: Alcohol
2004-01-01,2004,deaths_direct_alcohol,180925.0,,,,False,Actual,Direct: Alcohol
2005-01-01,2005,deaths_direct_alcohol,182155.0,,,,False,Actual,Direct: Alcohol
2006-01-01,2006,deaths_direct_alcohol,178208.0,,,,False,Actual,Direct: Alcohol
2007-01-01,2007,deaths_direct_alcohol,174469.0,,,,False,Actual,Direct: Alcohol
2008-01-01,2008,deaths_direct_alcohol,172084.0,,,,False,Actual,Direct: Alcohol
2009-01-01,2009,deaths_direct_alcohol,167203.0,,,,False,Actual,Direct: Alcohol
2010-01-01,2010,deaths_direct_alcohol,164774.0,,,,False,Actual,Direct: Alcohol
2011-01-01,2011,deaths_direct_alcohol,161825.0,,,,False,Actual,Direct: Alcohol
2012-01-01,2012,deaths_direct_alcohol,159824.0,,,,False,Actual,Direct: Alcohol
2013-01-01,2013,deaths_direct_alcohol,159284.0,,,,False,Actual,Direct: Alcohol
2014-01-01,2014,deaths_direct_alcohol,159725.0,,,,False,Actual,Direct: Alcohol
2015-01-01,2015,deaths_direct_alcohol,161142.0,,,,False,Actual,Direct: Alcohol
2016-01-01,2016,deaths_direct_alcohol,162475.0,,,,False,Actual,Direct: Alcohol
2017-01-01,2017,deaths_direct_alcohol,163026.0,,,,False,Actual,Direct: Alcohol
2018-01-01,2018,deaths_direct_alcohol,165888.0,,,,False,Actual,Direct: Alcohol
2019-01-01,2019,deaths_direct_alcohol,168357.0,,,,False,Actual,Direct: Alcohol
2020-01-01,2020,deaths_direct_alcohol,,169975.4392134995,167722.23479916368,172228.64362783535,True,Forecast,Direct: Alcohol
2021-01-01,2021,deaths_direct_alcohol,,170663.89308699156,165814.8030894786,175512.98308450452,True,Forecast,Direct: Alcohol
2022-01-01,2022,deaths_direct_alcohol,,170956.32602174894,163526.94803976692,178385.70400373096,True,Forecast,Direct: Alcohol
2023-01-01,2023,deaths_direct_alcohol,,171080.54207256009,161406.75390901236,180754.3302361078,True,Forecast,Direct: Alcohol
2024-01-01,2024,deaths_direct_alcohol,,171133.30503269628,159513.87566418247,182752.7344012101,True,Forecast,Direct: Alcohol
1990-01-01,1990,deaths_direct_drug,56263.0,,,,False,Actual,Direct: Drug
1991-01-01,1991,deaths_direct_drug,62030.0,,,,False,Actual,Direct: Drug
1992-01-01,1992,deaths_direct_drug,66980.0,,,,False,Actual,Direct: Drug
1993-01-01,1993,deaths_direct_drug,71776.0,,,,False,Actual,Direct: Drug
1994-01-01,1994,deaths_direct_drug,76918.0,,,,False,Actual,Direct: Drug
1995-01-01,1995,deaths_direct_drug,80211.0,,,,False,Actual,Direct: Drug
1996-01-01,1996,deaths_direct_drug,81960.0,,,,False,Actual,Direct: Drug
1997-01-01,1997,deaths_direct_drug,82851.0,,,,False,Actual,Direct: Drug
1998-01-01,1998,deaths_direct_drug,85397.0,,,,False,Actual,Direct: Drug
1999-01-01,1999,deaths_direct_drug,87686.0,,,,False,Actual,Direct: Drug
2000-01-01,2000,deaths_direct_drug,90061.0,,,,False,Actual,Direct: Drug
2001-01-01,2001,deaths_direct_drug,87722.0,,,,False,Actual,Direct: Drug
2002-01-01,2002,deaths_direct_drug,85162.0,,,,False,Actual,Direct: Drug
2003-01-01,2003,deaths_direct_drug,82661.0,,,,False,Actual,Direct: Drug
2004-01-01,2004,deaths_direct_drug,82259.0,,,,False,Actual,Direct: Drug
2005-01-01,2005,deaths_direct_drug,85425.0,,,,False,Actual,Direct: Drug
2006-01-01,2006,deaths_direct_drug,85907.0,,,,False,Actual,Direct: Drug
2007-01-01,2007,deaths_direct_drug,86490.0,,,,False,Actual,Direct: Drug
2008-01-01,2008,deaths_direct_drug,87636.0,,,,False,Actual,Direct: Drug
2009-01-01,2009,deaths_direct_drug,87592.0,,,,False,Actual,Direct: Drug
2010-01-01,2010,deaths_direct_drug,88653.0,,,,False,Actual,Direct: Drug
2011-01-01,2011,deaths_direct_drug,89904.0,,,,False,Actual,Direct: Drug
2012-01-01,2012,deaths_direct_drug,91522.0,,,,False,Actual,Direct: Drug
2013-01-01,2013,deaths_direct_drug,95159.0,,,,False,Actual,Direct: Drug
2014-01-01,2014,deaths_direct_drug,99907.0,,,,False,Actual,Direct: Drug
2015-01-01,2015,deaths_direct_drug,106066.0,,,,False,Actual,Direct: Drug
2016-01-01,2016,deaths_direct_drug,113597.0,,,,False,Actual,Direct: Drug
2017-01-01,2017,deaths_direct_drug,119057.0,,,,False,Actual,Direct: Drug
2018-01-01,2018,deaths_direct_drug,123833.0,,,,False,Actual,Direct: Drug
2019-01-01,2019,deaths_direct_drug,128788.0,,,,False,Actual,Direct: Drug
2020-01-01,2020,deaths_direct_drug,,132915.61416295357,130728.7477759056,135102.48055000152,True,Forecast,Direct: Drug
2021-01-01,2021,deaths_direct_drug,,136378.93819792877,131530.26992742234,141227.6064684352,True,Forecast,Direct: Drug
2022-01-01,2022,deaths_direct_drug,,138794.23363103598,130660.45054447697,146928.016717595,True,Forecast,Direct: Drug
2023-01-01,2023,deaths_direct_drug,,140478.64201161952,129022.83053612687,151934.4534871122,True,Forecast,Direct: Drug
2024-01-01,2024,deaths_direct_drug,,141653.33540675836,126999.03376900655,156307.63704451016,True,Forecast,Direct: Drug
1990-01-01,1990,deaths_risk_alcohol,2462885.0,,,,False,Actual,Risk: Alcohol
1991-01-01,1991,deaths_risk_alcohol,2517654.0,,,,False,Actual,Risk: Alcohol
1992-01-01,1992,deaths_risk_alcohol,2581091.0,,,,False,Actual,Risk: Alcohol
1993-01-01,1993,deaths_risk_alcohol,2657647.0,,,,False,Actual,Risk: Alcohol
1994-01-01,1994,deaths_risk_alcohol,2727260.0,,,,False,Actual,Risk: Alcohol
1995-01-01,1995,deaths_risk_alcohol,2765782.0,,,,False,Actual,Risk: Alcohol
1996-01-01,1996,deaths_risk_alcohol,2789684.0,,,,False,Actual,Risk: Alcohol
1997-01-01,1997,deaths_risk_alcohol,2824640.0,,,,False,Actual,Risk: Alcohol
1998-01-01,1998,deaths_risk_alcohol,2859211.0,,,,False,Actual,Risk: Alcohol
1999-01-01,1999,deaths_risk_alcohol,2913566.0,,,,False,Actual,Risk: Alcohol
2000-01-01,2000,deaths_risk_alcohol,2969219.0,,,,False,Actual,Risk: Alcohol
2001-01-01,2001,deaths_risk_alcohol,3013812.0,,,,False,Actual,Risk: Alcohol
2002-01-01,2002,deaths_risk_alcohol,3083166.0,,,,False,Actual,Risk: Alcohol
2003-01-01,2003,deaths_risk_alcohol,3142881.0,,,,False,Actual,Risk: Alcohol
2004-01-01,2004,deaths_risk_alcohol,3182179.0,,,,False,Actual,Risk: Alcohol
2005-01-01,2005,deaths_risk_alcohol,3250625.0,,,,False,Actual,Risk: Alcohol
2006-01-01,2006,deaths_risk_alcohol,3267219.0,,,,False,Actual,Risk: Alcohol
2007-01-01,2007,deaths_risk_alcohol,3316373.0,,,,False,Actual,Risk: Alcohol
